Tempo,Tempo Transfer
0:01:59.563044,0:00:34.425968
0:01:49.992975,0:00:33.816278
0:03:57.536755,0:00:40.120375
0:01:40.152462,0:00:40.199056
0:01:26.374461,0:00:43.284285
0:01:46.708168,0:00:37.088043
0:00:15.348584,0:00:17.854110
0:01:26.187533,0:00:33.405960
0:01:53.705777,0:00:39.749033
0:04:05.657403,0:00:41.628369
