Perda,Acurácia,Perda Transfer,Acurácia Transfer
0.6814399361610413,0.5272727012634277,0.5907931923866272,0.931313157081604
0.6704912185668945,0.6646464467048645,0.5398077964782715,0.90505051612854
0.3339860439300537,0.870707094669342,0.47419172525405884,0.90505051612854
0.2732824981212616,0.8989899158477783,0.5747359991073608,0.9131312966346741
0.6921887397766113,0.49494948983192444,0.4747527539730072,0.931313157081604
0.6936719417572021,0.5050504803657532,0.400373250246048,0.9333333373069763
0.7001078128814697,0.5050504803657532,6.562739849090576,0.6464646458625793
0.7123349905014038,0.49494948983192444,0.5347792506217957,0.9272727370262146
0.6914559602737427,0.6040403842926025,0.7219129800796509,0.9111111164093018
0.2876183092594147,0.8989899158477783,0.4836180508136749,0.931313157081604
