epoch,accuracy,loss,val_accuracy,val_loss
0,0.8160544037818909,0.4374964237213135,0.946867048740387,0.14210064709186554
1,0.9617233276367188,0.10700714588165283,0.9898391366004944,0.036025818437337875
2,0.9886621236801147,0.040364719927310944,0.9917442798614502,0.025758547708392143
3,0.9907482862472534,0.02864760160446167,0.9928027391433716,0.02196120098233223
4,0.9951927661895752,0.01888931915163994,0.9932260513305664,0.020850859582424164
5,0.9962812066078186,0.012364867143332958,0.9904741644859314,0.038396984338760376
6,0.9906575679779053,0.027902791276574135,0.993649423122406,0.02380697801709175
7,0.9967346787452698,0.012306539341807365,0.9925910234451294,0.027412423864006996
8,0.998185932636261,0.0054305135272443295,0.981160044670105,0.058998044580221176
9,0.9915646314620972,0.02929500862956047,0.9955546259880066,0.01945600099861622
10,0.9969161152839661,0.00989255029708147,0.9953429102897644,0.023548344150185585
11,0.9976417422294617,0.006250638049095869,0.9932260513305664,0.027479249984025955
12,0.9971882104873657,0.01116052083671093,0.995131254196167,0.019967837259173393
13,0.9960090517997742,0.012939177453517914,0.9966130256652832,0.015820356085896492
14,0.9965533018112183,0.01298441831022501,0.9942845106124878,0.04027201980352402
15,0.9976417422294617,0.008062035776674747,0.9955546259880066,0.02066231146454811
16,0.9987301826477051,0.004176324233412743,0.9970363974571228,0.017080137506127357
17,0.9973695874214172,0.008807023987174034,0.9934377670288086,0.02828320488333702
